time, light, accx, accy, accz,
18.304, 2.22549, -0.0294099, -0.112739, 9.84299, 
18.336, 2.2385, -6.17781, -1.49532, 9.88345, 
18.368, 2.23497, 0.966585, 0.544707, 9.75288, 
18.4, 2.22649, -6.23205, -1.13466, 9.79733, 
18.432, 2.24438, -3.58422, 0.471333, 9.77657, 
18.464, 2.22186, -1.82261, 1.46611, 9.83493, 
18.496, 2.21956, -0.645619, 0.471212, 9.78611, 
18.528, 2.24375, 4.43384, 2.86425, 9.10057, 
18.56, 2.23313, -5.79217, 0.118743, 9.74371, 
18.592, 2.23263, 3.74976, 0.181893, 9.67545, 
18.624, 2.23538, 0.20094, -0.12212, 9.87369, 
18.656, 2.25192, -0.0741999, 0.0610122, 9.77599, 
18.688, 2.23302, -0.0919038, 0.0278172, 9.79263, 
18.72, 2.22542, 0.0220052, 0.0717862, 9.79264, 
18.752, 2.23434, -5.75055, 0.603498, 9.96112, 
18.784, 2.23644, 1.09775, -0.934417, 9.82279, 
18.816, 2.24893, -5.64107, 1.04245, 9.76424, 
18.848, 2.23723, 0.669581, -1.30096, 9.72257, 
18.88, 2.24687, 0.00855936, 0.235443, 9.87713, 
18.912, 2.2242, 0.137161, -0.0152626, 9.7289, 
18.944, 2.24226, -5.24984, 1.8492, 9.75867, 
18.976, 2.2432, 1.48414, -1.12303, 9.92474, 
19.008, 2.23688, -0.147782, 0.469519, 9.90284, 
19.04, 2.21645, -2.85046, 0.338532, 9.79658, 
19.072, 2.21823, 0.694021, -1.91769, 9.82288, 
19.104, 2.22621, 0.0924071, 0.0690314, 9.86362, 
19.136, 2.21443, -2.84929, 0.689774, 9.94085, 
19.168, 2.20844, -1.23626, -0.775969, 9.88779, 
19.2, 2.21694, -1.46545, -0.699742, 9.73175, 
19.232, 2.22694, -1.17492, 4.19971, 9.79893, 
19.264, 2.21513, 0.0740019, -0.175169, 9.8414, 
19.296, 2.22454, -0.766493, -0.167615, 9.83074, 
19.328, 2.23546, 2.71641, 0.317537, 9.04299, 
19.36, 2.2311, 0.000347607, -0.200232, 9.9067, 
19.392, 2.23523, 0.297377, 0.389648, 9.79279, 
19.424, 2.21408, -1.71296, 0.158967, 9.9033, 
19.456, 2.21153, -1.76091, 0.101629, 9.80721, 
19.488, 2.22847, 0.667258, 0.318913, 9.74212, 
19.52, 2.23834, 1.57082, 0.703033, 9.84458, 
19.552, 2.20439, 0.343234, 0.405786, 9.83526, 
19.584, 2.20902, -1.5681, -0.655526, 9.79796, 
19.616, 2.19509, -1.54726, -0.547401, 9.75926, 
19.648, 2.20374, 0.129465, 0.58153, 9.83445, 
19.68, 2.19635, -1.55647, -0.545055, 9.75523, 
19.712, 2.22116, 0.154281, 0.528142, 9.82709, 
19.744, 2.21317, -0.0684674, -0.0740622, 9.79622, 
19.776, 2.19139, -1.74322, -0.276488, 9.74547, 
19.808, 2.20355, -1.70139, -0.351947, 9.79201, 
19.84, 2.20508, -1.82822, -0.234586, 9.89591, 
19.872, 2.18223, -1.79713, -0.100539, 9.83851, 
19.904, 2.17992, 0.94182, 5.26132, 9.86719, 
19.936, 2.19094, 0.663645, -0.812395, 7.45214, 
19.968, 2.20169, -1.44897, 0.73161, 9.73613, 
20, 2.17589, 0.0540537, -0.155534, 9.77293, 
20.032, 2.20026, 0.0538054, 0.173716, 9.79987, 
20.064, 2.1918, 0.0502669, 0.121553, 9.81805, 
20.096, 2.16499, -0.0464272, 0.0506851, 9.79782, 
20.128, 2.16104, -0.0241311, 0.0513498, 9.8086, 
20.16, 2.18378, 0.0210869, 0.0844073, 9.87028, 
20.192, 2.16817, 0.0161871, 0.0177618, 9.69843, 
20.224, 2.18263, -0.0346993, 0.0545004, 9.79103, 
20.256, 2.18663, 0.0939839, 0.0701636, 9.73709, 
20.288, 2.15696, 0.0201666, -0.00723358, 9.82285, 
20.32, 2.14435, -0.000896514, -0.0252369, 9.76308, 
20.352, 2.11104, 0.134821, 0.0799993, 9.82435, 
20.384, 2.11494, 0.0174429, 0.0176238, 9.86638, 
20.416, 2.07568, 0.0260591, 0.0723514, 9.68566, 
20.448, 2.06793, 0.0213814, -0.0898993, 9.85191, 
20.48, 2.02424, 0.0296044, 0.0499097, 9.88878, 
20.512, 2.01177, -0.0191588, -0.0580213, 9.83446, 
20.544, 1.99833, 0.00859048, -0.0655596, 9.86833, 
20.576, 1.97486, 0.00596156, -0.0375206, 9.80069, 
20.608, 1.9644, 0.0295711, 0.0557738, 9.86776, 
20.64, 1.9418, -0.0649739, -0.238735, 9.85127, 
20.672, 1.90371, -0.0659502, 0.0236737, 9.73655, 
