time, x, y, heading, vel_x, vel_y, vel_heading,
0.432, -5.67541e-10, -4.41083e-08, 1.22376e-05, -1.54178e-12, 2.71288e-11, -8.99905e-10, 
0.44, -5.67551e-10, -4.41081e-08, 1.22376e-05, -1.23024e-12, 2.21699e-11, -7.21654e-10, 
0.448, -5.67559e-10, -4.41079e-08, 1.22376e-05, -9.81406e-13, 1.81031e-11, -5.78285e-10, 
0.456, -5.67565e-10, -4.41078e-08, 1.22376e-05, -7.81845e-13, 1.47726e-11, -4.63078e-10, 
0.464, -5.6757e-10, -4.41077e-08, 1.22376e-05, -6.23281e-13, 1.20462e-11, -3.70578e-10, 
0.472, -5.67574e-10, -4.41076e-08, 1.22376e-05, -4.96226e-13, 9.81688e-12, -2.96371e-10, 
0.48, -5.67577e-10, -4.41076e-08, 1.22376e-05, -3.9408e-13, 7.99578e-12, -2.36884e-10, 
0.488, -5.67579e-10, -4.41075e-08, 1.22376e-05, -3.13023e-13, 6.50833e-12, -1.89231e-10, 
0.496, -5.67581e-10, -4.41075e-08, 1.22376e-05, -2.48892e-13, 5.29546e-12, -1.51083e-10, 
0.504, -5.67583e-10, -4.41074e-08, 1.22376e-05, -1.96945e-13, 4.30583e-12, -1.20567e-10, 
0.512, -5.67584e-10, -4.41074e-08, 1.22376e-05, -1.55447e-13, 3.49956e-12, -9.61681e-11, 
0.52, -5.67585e-10, -4.41074e-08, 1.22376e-05, -1.23098e-13, 2.84235e-12, -7.66714e-11, 
0.528, -5.67586e-10, -4.41074e-08, 1.22376e-05, -9.70768e-14, 2.30754e-12, -6.1101e-11, 
0.536, -5.67587e-10, -4.41074e-08, 1.22376e-05, -7.64498e-14, 1.8731e-12, -4.86727e-11, 
0.544, -5.67587e-10, -4.41073e-08, 1.22376e-05, -5.93736e-14, 1.5199e-12, -3.87586e-11, 
0.552, -5.67587e-10, -4.41073e-08, 1.22376e-05, -4.70002e-14, 1.23276e-12, -3.08508e-11, 
0.56, -5.67588e-10, -4.41073e-08, 1.22376e-05, -3.64427e-14, 9.99163e-13, -2.45493e-11, 
0.568, -5.67588e-10, -4.41073e-08, 1.22376e-05, -2.75794e-14, 8.10008e-13, -1.95269e-11, 
0.576, -5.67588e-10, -4.41073e-08, 1.22376e-05, -2.16976e-14, 6.56233e-13, -1.55265e-11, 
0.584, -5.67588e-10, -4.41073e-08, 1.22376e-05, -1.67509e-14, 5.31479e-13, -1.23428e-11, 
0.592, -5.67588e-10, -4.41073e-08, 1.22376e-05, -1.18314e-14, 4.29914e-13, -9.81074e-12, 
0.6, -5.67588e-10, -4.41073e-08, 1.22376e-05, -9.79848e-15, 3.47711e-13, -7.79284e-12, 
0.608, -5.67588e-10, -4.41073e-08, 1.22376e-05, -6.53232e-15, 2.80632e-13, -6.19134e-12, 
0.616, -5.67588e-10, -4.41073e-08, 1.22376e-05, -4.51299e-15, 2.27571e-13, -4.91598e-12, 
0.624, -5.67589e-10, -4.41073e-08, 1.22376e-05, -3.17129e-15, 1.83849e-13, -3.90232e-12, 
0.632, -5.67589e-10, -4.41073e-08, 1.22376e-05, -1.72117e-15, 1.48196e-13, -3.09708e-12, 
0.64, -5.67589e-10, -4.41073e-08, 1.22376e-05, -4.47233e-16, 1.20815e-13, -2.45769e-12, 
0.648, -5.67589e-10, -4.41073e-08, 1.22376e-05, 4.47233e-16, 9.71792e-14, -1.95053e-12, 
0.656, -5.67589e-10, -4.41073e-08, 1.22376e-05, 1.17907e-15, 7.81691e-14, -1.54629e-12, 
0.664, -5.67589e-10, -4.41073e-08, 1.22376e-05, 1.73472e-15, 6.34284e-14, -1.22551e-12, 
0.672, -5.67588e-10, -4.41073e-08, 1.22376e-05, 2.4259e-15, 5.07915e-14, -9.71885e-13, 
0.68, -5.67588e-10, -4.41073e-08, 1.22376e-05, 1.78893e-15, 4.1029e-14, -7.69192e-13, 
0.688, -5.67588e-10, -4.41073e-08, 1.22376e-05, 2.15485e-15, 3.28623e-14, -6.10741e-13, 
0.696, -5.67588e-10, -4.41073e-08, 1.22376e-05, 2.66985e-15, 2.6841e-14, -4.84385e-13, 
0.704, -5.67588e-10, -4.41073e-08, 1.22376e-05, 2.53432e-15, 2.15807e-14, -3.8327e-13, 
0.712, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.69984e-15, 1.7621e-14, -3.04148e-13, 
0.72, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.91668e-15, 1.3417e-14, -2.41039e-13, 
0.728, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.53721e-15, 1.10023e-14, -1.89369e-13, 
0.736, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.60497e-15, 8.95801e-15, -1.50833e-13, 
0.744, -5.67588e-10, -4.41073e-08, 1.22376e-05, 2.87314e-15, 8.16328e-15, -1.17887e-13, 
